what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"uk_UA",1605374572571
processors,sysinfo,,,"4",1605374572571
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1605374572571
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1605374572571
java.specification.name,sysinfo,,,"Java Platform API Specification",1605374572571
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1605374572571
java.specification.version,sysinfo,,,"1.6",1605374572571
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1605374572571
java.version,sysinfo,,,"1.6.0_23",1605374572571
java.vm.info,sysinfo,,,"mixed mode",1605374572571
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1605374572571
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1605374572571
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1605374572571
java.vm.specification.version,sysinfo,,,"1.0",1605374572571
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1605374572571
java.vm.version,sysinfo,,,"19.0-b09",1605374572571
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1605374572607
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1605374573869
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1605374575590
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1605374576605
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1605374592904
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1605374600986
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1605374602526
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1605374616019
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1605374616263
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1605374616279
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1605374616294
